Game,Platform,Year,Genre,Publisher,North America,Europe,Japan,Rest of World
Sniper Elite 4,PS4,2017,Shooter,Rebellion Developments,0.06,0.16,0,0.04
Onechanbara Z2: Chaos,PS4,2014,Action,Nippon Ichi Software,0.15,0.03,0.05,0.04
Valkyria Chronicles,PS4,2016,Role-Playing,Sega,0.1,0.06,0.06,0.03
Samurai Warriors 4,PS4,2014,Action,Tecmo Koei,0.08,0.07,0.06,0.03
NBA Live 14,PS4,2013,Sports,Electronic Arts,0.16,0.05,0,0.04
NBA Live 15,PS4,2014,Sports,Electronic Arts,0.16,0.04,0,0.04
Ride,PS4,2015,Racing,Milestone S.r.l.,0.04,0.13,0.03,0.03
Transformers: Devastation,PS4,2015,Action,Activision,0.11,0.09,0,0.04
The Heavy Rain and Beyond: Two Souls Collection,PS4,2016,Action,Sony Computer Entertainment,0,0.2,0,0.03
LEGO Worlds,PS4,2017,Misc,Warner Bros. Interactive Entertainment,0.03,0.17,0,0.04
Darksiders II,PS4,2015,Action,Nordic Games,0.1,0.1,0,0.04
Gravity Rush 2,PS4,2017,Action,Sony Computer Entertainment,0.05,0.04,0.12,0.02
Tony Hawk's Pro Skater 5,PS4,2015,Sports,Activision,0.11,0.08,0,0.04
Transformer: Rise of the Dark Spark,PS4,2014,Action,Activision,0.08,0.1,0.01,0.04
Angry Birds Star Wars,PS4,2013,Strategy,Activision,0.11,0.08,0,0.04
XCOM 2,PS4,2016,Strategy,Take-Two Interactive,0.09,0.09,0,0.04
The Wolf Among Us,PS4,2014,Adventure,Telltale Games,0.11,0.07,0,0.04
Zombie Army Trilogy,PS4,2015,Shooter,Rebellion Developments,0.06,0.12,0,0.03
Senran Kagura: Estival Versus,PS4,2015,Action,Marvelous Interactive,0.1,0,0.09,0.02
The King of Fighters XIV,PS4,2016,Fighting,Deep Silver,0.1,0.02,0.06,0.03
Dynasty Warriors 8: Empires,PS4,2014,Action,Tecmo Koei,0.07,0.07,0.04,0.03
Bound By Flame,PS4,2014,Role-Playing,Focus Home Interactive,0.08,0.09,0,0.03
